experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
sandia_to_hust,naive_cross,sandia,hust,pytorch_mamba_library,100,456,34,8,77,1820.835781616771,76.55632544842838,-44.68098240490088,5.952302932739258,1.1849329471588135,3.891820192337036,8.143808364868164,32,0.01,17,77,0.08297067135572433,0.10849182307720184
sandia_to_hust,naive_cross,sandia,hust,pytorch_mamba_library,100,789,34,8,77,1495.4242600056118,67.82689573224563,-29.846981075572387,5.912139415740967,1.1042518615722656,3.891820192337036,8.123854637145996,32,0.003,21,81,0.11304916441440582,0.12455101311206818
sandia_to_luh,naive_cross,sandia,luh,pytorch_mamba_library,100,1011,34,8,106,219.54012073839397,44.73002434091123,0.40101801089537237,5.89173698425293,1.1798990964889526,3.891820192337036,8.143808364868164,32,0.01,7,67,0.02739962935447693,0.11145932227373123
sandia_to_luh,naive_cross,sandia,luh,pytorch_mamba_library,100,123,34,8,106,239.34036466195187,48.46585417112352,0.2959089873212295,5.980201721191406,1.1425416469573975,4.499809741973877,8.123854637145996,32,0.01,32,92,0.06841272860765457,0.03945787996053696
sandia_to_luh,naive_cross,sandia,luh,pytorch_mamba_library,100,42,34,8,106,241.32631326780498,45.198014883361445,0.26294153045773627,5.886687278747559,1.1171966791152954,3.891820192337036,8.143808364868164,16,0.01,66,126,0.052783284336328506,0.06029903143644333
sandia_to_luh,naive_cross,sandia,luh,pytorch_mamba_library,100,456,34,8,106,194.38835117013537,43.0049618835845,0.5828914548599272,5.952302932739258,1.1849329471588135,3.891820192337036,8.143808364868164,32,0.01,17,77,0.08276969194412231,0.11068570613861084
sandia_to_luh,naive_cross,sandia,luh,pytorch_mamba_library,100,789,34,8,106,393.64855500892213,54.1786472221026,-0.627784519815821,5.912139415740967,1.1042518615722656,3.891820192337036,8.123854637145996,32,0.01,3,63,0.12040948867797852,0.2835409343242645
sandia_to_matr,naive_cross,sandia,matr,pytorch_mamba_library,100,1011,34,8,129,1766.450394240171,109.57564350297969,-24.818324432505996,5.89173698425293,1.1798990964889526,3.891820192337036,8.143808364868164,16,0.01,13,73,0.04412108659744263,0.13514015078544617
sandia_to_matr,naive_cross,sandia,matr,pytorch_mamba_library,100,123,34,8,129,1667.9126789409293,106.8072799016651,-22.071777350613623,5.980201721191406,1.1425416469573975,4.499809741973877,8.123854637145996,64,0.003,102,162,0.05728266388177872,0.054328493773937225
sandia_to_matr,naive_cross,sandia,matr,pytorch_mamba_library,100,42,34,8,129,2250.3717526954274,120.155966680228,-40.165201673365516,5.886687278747559,1.1171966791152954,3.891820192337036,8.143808364868164,64,0.003,20,80,0.0848507434129715,0.09421879798173904
sandia_to_matr,naive_cross,sandia,matr,pytorch_mamba_library,100,456,34,8,129,2525.8344120547617,125.72751265252515,-50.2944252917735,5.952302932739258,1.1849329471588135,3.891820192337036,8.143808364868164,32,0.01,17,77,0.08281257748603821,0.10832536965608597
sandia_to_matr,naive_cross,sandia,matr,pytorch_mamba_library,100,789,34,8,129,2444.86332554471,123.54906024361291,-47.45936486976524,5.912139415740967,1.1042518615722656,3.891820192337036,8.123854637145996,64,0.003,5,65,0.08083850890398026,0.22338852286338806
hust_to_hust,within_split,hust,hust,pytorch_mamba_library,100,1011,53,12,12,227.8877899706646,16.162458383712977,0.09212772332652863,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,64,0.001,1,61,0.8661223649978638,0.9790648221969604
hust_to_hust,within_split,hust,hust,pytorch_mamba_library,100,123,53,12,12,252.65652706373612,16.98753104655479,-0.29137978866503844,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,32,0.01,36,96,0.7246061563491821,0.4372875392436981
hust_to_hust,within_split,hust,hust,pytorch_mamba_library,100,42,53,12,12,250.96670331371752,17.44359929201996,-0.19809119706228406,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,16,0.003,12,72,1.3502130508422852,0.8781353831291199
hust_to_hust,within_split,hust,hust,pytorch_mamba_library,100,456,53,12,12,254.27286782550902,16.640720639691082,-0.23862397268970859,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,64,0.01,12,72,0.521730363368988,0.7708824276924133
hust_to_hust,within_split,hust,hust,pytorch_mamba_library,100,789,53,12,12,245.11217366065367,17.50036782302752,-0.21598868478588784,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,16,0.003,46,106,0.7878300547599792,0.496216356754303
luh_to_luh,within_split,luh,luh,pytorch_mamba_library,100,1011,74,16,16,132.54581017821988,21.19053493929523,0.6820034437379106,6.0122599601745605,0.8932117819786072,4.094344615936279,7.38709020614624,64,0.003,189,249,0.020834263414144516,0.03739196062088013
luh_to_luh,within_split,luh,luh,pytorch_mamba_library,100,123,74,16,16,104.01923704727994,18.25787074870807,0.7843608970904895,5.986907005310059,0.9334043264389038,4.094344615936279,7.38709020614624,64,0.01,269,329,0.024606646969914436,0.04644375294446945
luh_to_luh,within_split,luh,luh,pytorch_mamba_library,100,42,74,16,16,107.16001481999754,16.510040845416412,0.8206326061663859,6.007865905761719,0.9053627848625183,4.127134323120117,7.38709020614624,32,0.01,9,69,0.08742079138755798,0.12127591669559479
luh_to_luh,within_split,luh,luh,pytorch_mamba_library,100,456,74,16,16,131.4575482074806,17.792967791558446,0.7255182319324511,5.982973098754883,0.9092166423797607,4.094344615936279,7.38709020614624,32,0.01,186,246,0.01885446533560753,0.037495892494916916
luh_to_luh,within_split,luh,luh,pytorch_mamba_library,100,789,74,16,16,141.74689337723507,22.118771589264146,0.6689786065354663,6.005956172943115,0.9016876220703125,4.127134323120117,7.38709020614624,32,0.01,77,137,0.08377353101968765,0.05934128537774086
matr_to_matr,within_split,matr,matr,pytorch_mamba_library,100,1011,89,20,20,215.5731698227225,30.530212172934558,0.36141698610598205,6.573174953460693,0.43848228454589844,5.509388446807861,7.633369445800781,64,0.001,57,117,0.22646410763263702,0.4271439015865326
matr_to_matr,within_split,matr,matr,pytorch_mamba_library,100,123,89,20,20,290.7975551158209,36.71958301745768,-0.32846003670470814,6.538547992706299,0.4620334804058075,4.8903489112854,7.633369445800781,32,0.01,22,82,0.6839964985847473,0.5035009384155273
matr_to_matr,within_split,matr,matr,pytorch_mamba_library,100,42,89,20,20,198.19198887283662,26.784189978448385,0.2650236860914843,6.567969799041748,0.44667568802833557,5.509388446807861,7.633369445800781,32,0.003,94,154,0.2155379354953766,0.24731673300266266
matr_to_matr,within_split,matr,matr,pytorch_mamba_library,100,456,89,20,20,217.60074143702005,24.412819509395543,0.08628355134077503,6.5606160163879395,0.4517723619937897,5.509388446807861,7.633369445800781,32,0.003,64,124,0.21652193367481232,0.21195319294929504
matr_to_matr,within_split,matr,matr,pytorch_mamba_library,100,789,89,20,20,184.39608298161156,24.41502069930118,-0.26522116293602793,6.570230007171631,0.447017639875412,5.521461009979248,7.633369445800781,64,0.003,86,146,0.6243244409561157,0.24965086579322815
sandia_to_sandia,within_split,sandia,sandia,pytorch_mamba_library,100,1011,34,8,8,389.97730377443423,37.318221021091645,0.1376700458195822,5.89173698425293,1.1798990964889526,3.891820192337036,8.143808364868164,32,0.01,7,67,0.027399616315960884,0.11146391183137894
sandia_to_sandia,within_split,sandia,sandia,pytorch_mamba_library,100,123,34,8,8,203.5368713771138,38.316467408571995,0.8644917443771156,5.980201721191406,1.1425416469573975,4.499809741973877,8.123854637145996,64,0.003,126,186,0.07002497464418411,0.054745979607105255
sandia_to_sandia,within_split,sandia,sandia,pytorch_mamba_library,100,42,34,8,8,105.4024773391863,10.675811248177524,0.9612141183011466,5.886687278747559,1.1171966791152954,3.891820192337036,8.143808364868164,16,0.01,79,139,0.050632841885089874,0.05082475021481514
sandia_to_sandia,within_split,sandia,sandia,pytorch_mamba_library,100,456,34,8,8,45.7781926312873,21.03894306176887,0.9943576899763554,5.952302932739258,1.1849329471588135,3.891820192337036,8.143808364868164,32,0.01,17,77,0.0828392431139946,0.1097114086151123
sandia_to_sandia,within_split,sandia,sandia,pytorch_mamba_library,100,789,34,8,8,82.02652462373115,27.208607811713005,0.9785913447554931,5.912139415740967,1.1042518615722656,3.891820192337036,8.123854637145996,32,0.01,3,63,0.12040948867797852,0.2835409343242645
