experiment,source,target,model,n_cycles,adapter_type,k,baseline_MAE,baseline_MAE_std,baseline_SMAPE,baseline_R2,baseline_R2_std,adapted_MAE,adapted_MAE_std,adapted_SMAPE,adapted_R2,adapted_R2_std,adapter_slope_mean,adapter_intercept_mean,delta_MAE,delta_R2
matr_to_sandia,matr,sandia,elastic_net,100,residual_mean,5,4116710.133532904,4833000.751000322,136.26207698524132,-1716822502.7653012,2177141081.5879188,4020631.8704902483,4730720.002474961,166.58720947351017,-1680651576.1456904,2139058256.5533602,1.0,-4948221.944416645,-96078.26304265577,36170926.61961079
matr_to_sandia,matr,sandia,elastic_net,100,residual_mean,10,4116710.133532904,4833000.751000322,136.26207698524132,-1716822502.7653012,2177141081.5879188,3974472.864273034,4633968.669979457,170.8064946789512,-1648810317.4348724,2066504249.5845928,1.0,-4667639.306787858,-142237.26925987005,68012185.33042884
matr_to_sandia,matr,sandia,elastic_net,100,residual_mean,15,4116710.133532904,4833000.751000322,136.26207698524132,-1716822502.7653012,2177141081.5879188,3731056.4366450803,4502131.778947946,177.17978665071558,-1618600349.381326,2148785618.867229,1.0,-5004613.3837839,-385653.69688782375,98222153.38397527
matr_to_sandia,matr,sandia,elastic_net,100,residual_mean,20,4116710.133532904,4833000.751000322,136.26207698524132,-1716822502.7653012,2177141081.5879188,3788161.7456962555,4411044.5502030635,178.8597685366428,-1686159213.282953,2150978204.3549323,1.0,-4600686.273682477,-328548.3878366486,30663289.482348204
matr_to_sandia,matr,sandia,elastic_net,100,linear,5,4116710.133532904,4833000.751000322,136.26207698524132,-1716822502.7653012,2177141081.5879188,64254.45866786847,93913.26124402392,104.54470884462708,-2888183.8113290993,5431210.123094323,0.26645476398264395,925.2104866440977,-4052455.674865036,1713934318.953972
matr_to_sandia,matr,sandia,elastic_net,100,linear,10,4116710.133532904,4833000.751000322,136.26207698524132,-1716822502.7653012,2177141081.5879188,7673.830272583111,7265.405929536033,102.87050986310696,-12356.104095823233,15257.619213895201,-0.001760992769916548,963.8302598029392,-4109036.303260321,1716810146.6612053
matr_to_sandia,matr,sandia,elastic_net,100,linear,15,4116710.133532904,4833000.751000322,136.26207698524132,-1716822502.7653012,2177141081.5879188,5048.804194845306,7820.641525210273,104.39889312806307,-5809.364428878153,11213.496223376409,0.037451737023464646,908.1082704958405,-4111661.329338059,1716816693.4008722
matr_to_sandia,matr,sandia,elastic_net,100,linear,20,4116710.133532904,4833000.751000322,136.26207698524132,-1716822502.7653012,2177141081.5879188,3280.527941296583,4901.737893485343,105.88668529093395,-1766.7712981968111,3533.3474812556005,-0.027596856606484088,971.8079255942732,-4113429.6055916073,1716820735.994003
matr_to_sandia,matr,sandia,pls,100,residual_mean,5,8232176.223105481,9666015.842549454,134.78496793628523,-6846433089.37058,8371698667.284172,7777360.199885488,9106418.959304553,169.8453410395995,-6643028945.813647,8122945249.981092,1.0,-12217297.546285288,-454816.02321999334,203404143.55693245
matr_to_sandia,matr,sandia,pls,100,residual_mean,10,8232176.223105481,9666015.842549454,134.78496793628523,-6846433089.37058,8371698667.284172,7953797.149653465,9356319.501362266,172.14604727823377,-6816663993.887423,8336881625.761943,1.0,-9285188.281592745,-278379.07345201634,29769095.483157158
matr_to_sandia,matr,sandia,pls,100,residual_mean,15,8232176.223105481,9666015.842549454,134.78496793628523,-6846433089.37058,8371698667.284172,7070265.912892131,8293994.307924708,172.7709371348147,-6640899411.386087,8311396915.579347,1.0,-10899888.091019211,-1161910.3102133498,205533677.9844923
