source,target,direction,model,feature_group,contribution_mean,contribution_median,contribution_sd,sign_consistency,mean_abs_shap_log
sandia,luh,sandia_to_luh,catboost,capacity_level_retention,0.28097168122571536,0.25746842538538767,0.05798759897384894,1.0,0.13303673097623853
sandia,luh,sandia_to_luh,catboost,curvature_acceleration,0.06191133408614944,0.08755576512503203,0.12413160638008323,0.8,0.23438939236443704
sandia,luh,sandia_to_luh,catboost,spectral_entropy,-0.1609790737106375,-0.10715077650134877,0.1302584135076852,1.0,0.3040330235593551
sandia,luh,sandia_to_luh,catboost,trend_decay_timing,0.5383448767629857,0.47863218918724065,0.15615321198994062,1.0,0.3000050586117301
sandia,luh,sandia_to_luh,catboost,variability_events,0.21049776224367553,0.24817130585306663,0.07203836094715814,1.0,0.4324367669390078
sandia,luh,sandia_to_luh,random_forest,capacity_level_retention,0.22228433922026664,0.23089333089620456,0.05832051057647583,1.0,0.15094833475955943
sandia,luh,sandia_to_luh,random_forest,curvature_acceleration,-0.0011600435847612836,0.0037955589830323748,0.014484208528455124,0.6,0.08396356710520722
sandia,luh,sandia_to_luh,random_forest,spectral_entropy,0.013088828585827397,0.007338951504785509,0.01830242856878493,0.8,0.11711628226956597
sandia,luh,sandia_to_luh,random_forest,trend_decay_timing,0.30631399049624763,0.30546932394295045,0.06723577055960632,1.0,0.23078892354118605
sandia,luh,sandia_to_luh,random_forest,variability_events,0.28884014999060525,0.268532123310101,0.10199528579508764,1.0,0.3684314862381598
sandia,matr,sandia_to_matr,catboost,capacity_level_retention,0.032399033308673976,0.03426703430764694,0.006570376551630623,1.0,0.31091186496050427
sandia,matr,sandia_to_matr,catboost,curvature_acceleration,-0.008919228882022335,-0.008645783218818323,0.022970917606965003,0.6,0.3579461382121275
sandia,matr,sandia_to_matr,catboost,spectral_entropy,0.07737562129339494,0.06932559503396254,0.015640717728511284,1.0,0.2638686272938378
sandia,matr,sandia_to_matr,catboost,trend_decay_timing,0.1258695909076087,0.13471699345185206,0.02886061484206921,1.0,0.5807568649068262
sandia,matr,sandia_to_matr,catboost,variability_events,0.09201233016489312,0.0971391844890982,0.009572633429371293,1.0,0.6083846643005331
sandia,matr,sandia_to_matr,random_forest,capacity_level_retention,0.03570303541547464,0.03651727253909761,0.004632534664250161,1.0,0.4516746121691684
sandia,matr,sandia_to_matr,random_forest,curvature_acceleration,0.004454256984458874,0.0038018454849492373,0.009701034491207981,0.8,0.1803586134870726
sandia,matr,sandia_to_matr,random_forest,spectral_entropy,0.05278063032194689,0.042681065219848255,0.03304166582885358,1.0,0.0842206600183101
sandia,matr,sandia_to_matr,random_forest,trend_decay_timing,0.09197043538692605,0.10020893570612033,0.026158743938810645,1.0,0.68316586399503
sandia,matr,sandia_to_matr,random_forest,variability_events,0.0812245224082799,0.07634686361815382,0.017085783933902778,1.0,0.645710001729324
